,x1,y1,x2,y2,label,confidence,text
0,91,1266,134,1297,box,0.934296190738678,17
1,88,1148,132,1180,box,0.929434597492218,14
2,224,994,273,1026,box,0.9288119673728943,BP
3,90,1228,133,1260,box,0.9274953007698059,16
4,87,1029,129,1062,box,0.9267245531082153,11
5,89,1109,132,1141,box,0.9238304495811462,13
6,88,791,129,826,box,0.9232892394065857,5
7,91,672,131,707,box,0.9213281273841858,2
8,218,1113,284,1145,box,0.9208135008811951,NRM
9,89,1069,131,1102,box,0.9207108020782471,12
10,87,911,127,945,box,0.9202291369438171,8
11,90,1188,133,1221,box,0.9193748831748962,15
12,225,1031,273,1066,box,0.9185563325881958,LP
13,87,990,131,1023,box,0.9180869460105896,10
14,94,636,130,667,box,0.9174525141716003,1
15,220,1152,282,1186,box,0.9163486361503601,PDP
16,230,638,273,672,box,0.9149210453033447,A
17,215,1073,285,1105,box,0.9147548079490662,NNPP
18,224,1269,283,1300,box,0.9138211011886597,YPP
19,91,712,131,747,box,0.9131443500518799,3
20,223,1232,283,1263,box,0.9129599928855896,SDP
21,88,951,128,985,box,0.9122986793518066,9
22,87,872,126,905,box,0.9120291471481323,7
23,214,877,290,911,box,0.9114431142807007,APGA
24,221,955,280,987,box,0.9112813472747803,APP
25,89,832,128,866,box,0.9106346368789673,6
26,221,837,284,870,box,0.9096996784210205,APC
27,1010,315,1069,345,box,0.9095591902732849,Code
28,221,795,283,830,box,0.9090463519096375,ADP
29,89,751,130,785,box,0.9085138440132141,4
30,227,1307,282,1339,box,0.9077792167663574,ZLP
31,219,757,286,789,box,0.9072546362876892,ADC
32,93,1305,132,1335,box,0.9069585204124451,18
33,221,1192,283,1225,box,0.902614951133728,PRP
34,219,916,282,949,box,0.902572751045227,APM
35,87,584,136,616,box,0.9024887084960938,S/N
36,227,675,279,712,box,0.8941354751586914,AA
37,220,715,286,750,box,0.8913795351982117,AAC
38,1075,313,1150,357,box,0.8908200263977051,013
39,619,172,681,200,box,0.8842199444770813,ABIA
40,80,176,142,205,box,0.8775849342346191,State
41,1011,179,1071,208,box,0.8774555921554565,Code 001
42,1074,163,1156,215,box,0.8646281957626343,Code 001
43,1074,222,1127,258,box,0.8626978993415833,10
44,1009,272,1067,303,box,0.8582689166069031,Code
45,207,603,293,632,box,0.8572088479995728,PARTY
46,1075,269,1126,306,box,0.8523054718971252,10
47,88,298,207,333,box,0.8515610694885254,Polling Unit
48,607,602,759,630,box,0.8455802202224731,IN WORDS
49,561,247,716,278,box,0.8455334901809692,ANIA OHAFIA
50,1011,123,1156,161,box,0.845417857170105,FORM EC BA
51,585,1027,783,1085,box,0.8442410826683044,FORTHY Two-
52,496,570,677,598,box,0.8430455923080444,VOTES SCORED
53,600,206,696,237,box,0.8414853811264038,OHAFIA
54,413,1023,507,1078,box,0.8410521745681763,42-
55,1010,227,1069,255,box,0.8388743996620178,Code
56,101,1360,285,1393,box,0.8320615887641907,TOTAL VALID VOTES
57,189,576,320,604,box,0.8257687091827393,POLITICAL
58,602,1362,814,1427,box,0.8251277208328247,FORTHY SIX
59,610,830,742,881,box,0.8235223889350891,FOUR
60,117,509,578,553,box,0.8167098164558411,"7, Number of Total Valid Votes (Total Valid Votes cast for all parties)"
61,986,90,1160,127,box,0.8151990175247192,B/N PE/0002647
62,78,254,261,290,box,0.8123917579650879,Registration Area
63,419,829,475,874,box,0.810785710811615,4
64,805,1564,986,1634,box,0.8060680031776428,25-02-2023
65,361,599,533,627,box,0.8055243492126465,IN FIGURES
66,86,212,320,246,box,0.8048378229141235,Local Government Area
67,913,608,1113,637,box,0.8042793869972229,POLLING AGENT
68,765,466,843,503,box,0.8040563464164734,None ONe
69,411,1367,489,1415,box,0.7976441383361816,46
70,99,388,335,420,box,0.7961922287940979,2. Number of Accredited Voters
71,120,534,572,574,box,0.7932484745979309,8. Total Number of Used Ballots Papers (Total of #5 + #6 + #7 above)
72,621,437,692,471,box,0.7911274433135986,47
73,94,1388,324,1415,box,0.7856293320655823,(Record Total Valid Votes under #7 above)
74,887,585,1141,615,box,0.7717872262001038,NAME/SIGNATURE OF
75,101,490,317,526,box,0.7560378909111023,6. Number of Rejected Ballots
76,119,358,365,396,box,0.7484548091888428,1. Number of Voters on the Register
77,106,443,352,476,box,0.7294809818267822,4. Number of Unused Ballot Papers
78,416,283,823,328,box,0.7183700203895569,NDI AKAMANDU COMPOUND NDI AKAMANDU HALL
79,109,411,464,451,box,0.7118409276008606,3. Number of Ballot Papers Issued to the Polling Units
80,625,409,715,444,box,0.686707079410553,241
81,661,487,746,525,box,0.6861616373062134,None ONe
82,95,467,358,503,box,0.6846671104431152,5. Number of Spoiled Ballot Papers
83,190,1471,1104,1514,box,0.6728533506393433,containe this form is a true and accurate account of votes cast in this polling Unit and that the election was
84,921,516,986,553,box,0.6680510640144348,X
85,839,492,885,525,box,0.6667405366897583,
86,682,354,1192,405,box,0.6605114340782166,241 Two HUNDRED AND FORESTY ONE
87,796,516,895,553,box,0.6569877862930298,FOURTY
88,92,1491,190,1527,box,0.6356868147850037,CON
89,626,353,706,387,box,0.6338001489639282,241
90,648,513,713,545,box,0.6189097762107849,46.
91,82,146,211,165,box,0.6012451648712158,ELECTORAL COMMISSION
92,937,547,1051,582,box,0.5821040272712708,47 FOURTY SEVEN
93,613,1439,1185,1487,box,0.5496784448623657,"I, Uding Aking ASUM (Name of Presiding Officer) hereby certify that the information"
94,656,467,694,492,box,0.5023353099822998,
95,190,1496,430,1534,box,0.47728481888771057,CONTES D/NOT OUTESTED
96,630,375,712,415,box,0.4650654196739197,TII
97,684,531,759,576,box,0.4322543442249298,47
98,774,412,1183,458,box,0.3984639346599579,TWO HUNDRED AND FOURT ONE
99,946,447,1034,483,box,0.33903026580810547,FOURTY Sevenal
100,705,380,971,428,box,0.3304072916507721,241 47 FOURTY Seven
101,90,1440,118,1470,box,0.31516554951667786,"I,"
102,81,131,214,150,box,0.31115812063217163,INDEPENDENT NATIONAL
103,971,1647,1022,1688,box,0.2930041551589966,Date
104,816,545,909,580,box,0.28948819637298584,FOHRU
105,798,439,920,481,box,0.26069995760917664,FOURTY Sevenal
106,91,341,616,574,column,0.9068004488945007,
107,616,346,1173,591,column,0.8772221803665161,
108,332,605,592,1420,column,0.8759500980377197,
109,149,581,343,1323,column,0.8752789497375488,
110,577,601,849,1397,column,0.8631613850593567,
111,822,591,1201,1418,column,0.8320836424827576,
112,68,589,156,1324,column,0.7943302989006042,
113,488,82,951,136,header,0.7775816917419434,2023 PRESIDENTIAL ELECTION B/N PE/0002647
114,267,-10,1142,53,header,0.7479873895645142,INDEPENDENT NATIONAL ELECTORAL COMMISSION
115,306,39,1087,95,header,0.6282907128334045,STATEMENT OF RESULT OF POLL FROM POLLING UNIT
116,1009,159,1158,217,kv,0.8836130499839783,Code 0
117,1008,265,1130,310,kv,0.8425731062889099,Code 10
118,1002,305,1151,358,kv,0.8226644992828369,Code 0 3
119,1007,217,1136,264,kv,0.8095114231109619,Code 10
120,77,0,217,156,logo,0.8810420036315918,
121,123,1416,1145,1555,paragraph,0.8151196837425232,
122,841,1334,977,1433,signature,0.8425159454345703,Kathl
123,849,794,969,879,signature,0.7963834404945374,Jundy
124,837,955,930,1003,signature,0.7877301573753357,$
125,882,1029,1071,1130,signature,0.778723418712616,illus
126,885,1134,1102,1204,signature,0.7510421872138977,
127,116,1418,564,1478,signature,0.7462930679321289,"I, Uding Aking ASUM (Name of Presiding Officer) hereby certify that the information"
128,168,1545,311,1652,signature,0.3736068606376648,
129,413,742,842,1164,stamp,0.8974316120147705,
130,102,1452,385,1726,stamp,0.8790181279182434,
131,557,1504,784,1706,stamp,0.2580138146877289,
132,66,557,1158,1454,table,0.9343230128288269,
133,90,330,1143,588,table,0.8733919858932495,
