,x1,y1,x2,y2,label,confidence,text
0,240,892,303,926,box,0.933337926864624,APM
1,230,1127,291,1161,box,0.9318556189537048,PDP
2,95,1079,142,1114,box,0.9315583109855652,13
3,228,1047,300,1082,box,0.9306191802024841,NNPP
4,229,1166,289,1201,box,0.9292240142822266,PRP
5,240,929,299,965,box,0.9288095831871033,APP
6,239,1008,290,1043,box,0.9285274147987366,LP
7,237,853,310,889,box,0.9279065132141113,APGA
8,90,1201,137,1235,box,0.9274524450302124,16
9,251,739,310,772,box,0.9274137020111084,ADC
10,248,775,308,809,box,0.9266365170478821,ADP
11,102,959,149,994,box,0.9265999794006348,10
12,99,998,145,1035,box,0.92637699842453,11
13,228,1246,288,1280,box,0.9255733489990234,YPP
14,93,1160,139,1195,box,0.9252055287361145,15
15,254,703,314,736,box,0.9220126271247864,AAC
16,116,841,157,877,box,0.921800434589386,7
17,242,968,292,1003,box,0.9208873510360718,BP
18,231,1088,297,1122,box,0.9207253456115723,NRM
19,94,1120,141,1154,box,0.9205684065818787,14
20,98,1039,146,1074,box,0.9198365807533264,12
21,245,813,307,848,box,0.9192981719970703,APC
22,134,656,173,690,box,0.9178735613822937,2
23,258,665,310,698,box,0.9170267581939697,AA
24,90,1241,137,1274,box,0.9169298410415649,17
25,127,729,166,762,box,0.9166686534881592,4
26,225,1287,284,1321,box,0.9161028265953064,ZLP
27,108,920,150,955,box,0.914551854133606,9
28,981,331,1032,357,box,0.913575291633606,Code
29,229,1206,289,1240,box,0.912452757358551,SDP
30,133,694,173,728,box,0.9113394618034363,3
31,137,620,174,652,box,0.9112244248390198,1
32,112,880,155,916,box,0.9109999537467957,8
33,120,802,160,837,box,0.910227358341217,6
34,89,1283,132,1313,box,0.9097002744674683,18
35,122,765,164,800,box,0.9092788100242615,5
36,619,249,697,274,box,0.9052242636680603,DEKINA
37,136,573,182,603,box,0.904329240322113,S/N
38,264,626,306,659,box,0.9038734436035156,A
39,634,218,690,242,box,0.9026891589164734,KOGI
40,158,205,212,229,box,0.9002057909965515,State
41,603,282,698,307,box,0.8919193148612976,ANYIGBA
42,982,298,1031,323,box,0.8850327730178833,Code
43,1038,215,1109,253,box,0.884792685508728,Code 022
44,1035,330,1109,366,box,0.8837741017341614,028
45,741,469,801,496,box,0.8830044865608215,Nu
46,724,510,776,537,box,0.8820701241493225,85
47,1038,258,1085,288,box,0.881278932094574,05
48,519,327,712,356,box,0.8804072141647339,OPEN SPACE OLUBOJO
49,754,445,817,475,box,0.8770204186439514,341
50,960,154,1118,183,box,0.8751897811889648,S/N: PE/0001051
51,440,1121,484,1164,box,0.8727346658706665,1
52,953,1593,994,1623,box,0.8718046545982361,Date
53,243,592,326,621,box,0.8699741363525391,PARTY
54,724,371,811,400,box,0.8687268495559692,438
55,981,261,1030,286,box,0.86794513463974,Code
56,421,1000,481,1047,box,0.8661349415779114,7
