,x1,y1,x2,y2,label,confidence,text
0,194,1231,249,1266,box,0.9174984097480774,SDP
1,219,795,276,830,box,0.9161578416824341,ADC
2,210,1044,258,1078,box,0.9150456786155701,LP
3,197,1193,254,1227,box,0.9145078659057617,PRP
4,199,1081,265,1116,box,0.9143673181533813,NNPF
5,222,760,279,795,box,0.9128568172454834,AAC
6,192,1269,247,1306,box,0.9125667214393616,YEP
7,213,905,277,935,box,0.9097045660018921,APGA
8,215,1009,261,1041,box,0.9096240997314453,BP
9,91,1043,134,1076,box,0.9089328646659851,
10,213,938,272,970,box,0.9077349901199341,APM
11,213,973,266,1005,box,0.9067695140838623,APP
12,226,727,275,757,box,0.9066808819770813,AA
13,185,1310,242,1345,box,0.9047684073448181,ZIP
14,201,1119,262,1153,box,0.9046040773391724,NRM
15,222,832,275,866,box,0.9043915867805481,ADP
16,218,870,274,900,box,0.9031822085380554,APC
17,200,1156,257,1190,box,0.9021643400192261,PDP
18,88,1080,130,1113,box,0.9012614488601685,
19,84,1116,128,1149,box,0.899616003036499,
20,93,1007,135,1038,box,0.898907482624054,
21,80,1152,125,1186,box,0.8964135050773621,
22,211,655,292,684,box,0.8961983919143677,PAETY
23,65,1269,110,1299,box,0.8904563188552856,17
24,112,756,150,789,box,0.8894159197807312,3
25,106,829,144,862,box,0.8847172260284424,5
26,201,626,307,657,box,0.8835353255271912,POLITICAL
27,103,867,141,898,box,0.8816083073616028,
28,59,1310,105,1342,box,0.8761987686157227,48
29,509,1349,724,1401,box,0.8751170635223389,ONE HUNDREND
30,119,637,160,665,box,0.8714399933815002,S/N
31,510,1389,672,1440,box,0.871030867099762,AND FWE
32,355,1041,449,1093,box,0.8692715764045715,103
33,76,1191,120,1223,box,0.8683241009712219,16
34,112,718,151,749,box,0.8641022443771362,
35,376,688,459,727,box,0.8576923608779907,ONE
36,905,345,1021,385,box,0.8402356505393982,Code 12
37,235,687,288,721,box,0.8332778215408325,2
38,336,1360,431,1421,box,0.8332511782646179,105
39,96,973,135,1002,box,0.8329687714576721,
40,712,1557,1022,1712,box,0.8294076919555664,25/3/2023
41,127,383,229,411,box,0.8211110830307007,Polling Unit
42,904,308,1021,344,box,0.8113994598388672,Code 02
43,813,664,1008,696,box,0.8105185627937317,POLLING AGENT
44,509,1452,1032,1514,box,0.8007731437683105,(Name of Presiding Officer) hereby certify that the information
45,96,939,141,969,box,0.7972979545593262,
46,128,346,276,377,box,0.7825778126716614,Registration Area
47,901,266,1043,308,box,0.7810567617416382,Code 001
48,800,639,1037,675,box,0.7787162065505981,AME/SIGNATURE OF
49,913,231,1041,264,box,0.778439998626709,FORM EC BA
50,57,1366,248,1407,box,0.7661507725715637,
51,509,337,660,371,box,0.7560106515884399,ABA TOWN HALL
52,335,655,489,687,box,0.7544326186180115,IN FIGURES
53,160,310,335,344,box,0.7443548440933228,Local Government Area
54,525,304,654,336,box,0.723030149936676,ABA SOUTH
55,138,552,324,577,box,0.7196975350379944,6 Number of Rejected Baljots
56,908,383,1041,424,box,0.7102558016777039,Code 003
57,130,530,348,558,box,0.7086394429206848,S. Number of Sporied Balint Papert
58,138,480,482,510,box,0.7066411972045898,a. Number of Balim Papers issued to the Polling Units
59,406,1479,1027,1549,box,0.6969733834266663,* form accurate account of votes cast in this polling Unit and that the election was
60,137,509,360,534,box,0.689283549785614,4. Number of Unused BaRot Papers
