,x1,y1,x2,y2,label,confidence,text
0,86,1148,130,1181,box,0.9270814061164856,13
1,86,1028,129,1062,box,0.9239346981048584,10
2,86,1269,130,1303,box,0.9220223426818848,16
3,87,825,128,861,box,0.9211664795875549,5
4,86,1229,130,1262,box,0.9210451245307922,15
5,87,907,126,942,box,0.9205101132392883,7
6,86,1109,130,1142,box,0.9192793369293213,12
7,87,1068,129,1102,box,0.9178240299224854,11
8,86,1189,130,1222,box,0.9172602295875549,14
9,225,1030,276,1065,box,0.9159047603607178,BP
10,221,1234,283,1267,box,0.9155327081680298,PRP
11,88,704,129,738,box,0.9152309894561768,2
12,215,1112,291,1146,box,0.91318678855896,NNPP
13,88,1309,130,1341,box,0.9126718640327454,17
14,88,948,127,983,box,0.9122857451438904,8
15,221,992,284,1025,box,0.9106956720352173,APP
16,228,1069,276,1104,box,0.9106814861297607,LP
17,221,1193,283,1226,box,0.9091935753822327,PDP
18,90,1351,129,1379,box,0.9088496565818787,18
19,218,1153,286,1187,box,0.9087991714477539,NRM
20,221,1273,283,1307,box,0.9078395366668701,SDP
21,227,668,276,704,box,0.9064440131187439,A
22,89,743,129,779,box,0.906238853931427,3
23,86,987,128,1022,box,0.9061359763145447,9
24,88,866,128,901,box,0.904998242855072,6
25,87,784,128,818,box,0.904153048992157,4
26,221,1312,282,1345,box,0.9038376808166504,YPP
27,214,911,294,945,box,0.8974927663803101,APGA
28,223,1353,281,1384,box,0.8972184062004089,ZLP
29,90,665,128,697,box,0.894885241985321,1
30,221,830,286,864,box,0.8944608569145203,ADP
31,221,789,287,822,box,0.8934085965156555,ADC
32,86,615,135,646,box,0.890603244304657,S/N
33,221,870,287,905,box,0.8875706791877747,APC
34,202,634,294,663,box,0.8865952491760254,PARTY
35,1012,327,1070,356,box,0.8843278884887695,Code
36,1015,181,1073,212,box,0.8839036226272583,Code
37,219,951,288,984,box,0.8822125196456909,APM
38,621,186,681,216,box,0.8814407587051392,ABIA
39,427,907,473,951,box,0.8813963532447815,1
40,224,708,282,743,box,0.8796444535255432,AA
41,404,778,450,830,box,0.8795106410980225,1
42,221,747,285,782,box,0.8780422210693359,AAC
43,77,193,140,221,box,0.8777588605880737,State
44,1013,281,1072,312,box,0.8697311878204346,Code
45,183,607,313,635,box,0.8661815524101257,POLITICAL
46,486,1307,532,1350,box,0.8639615774154663,1
47,660,565,737,597,box,0.8599662780761719,100
48,1072,317,1151,368,box,0.8584327101707458,019
49,416,863,477,907,box,0.8556430339813232,2
50,110,440,498,476,box,0.8555862307548523,3. Number of Ballot Papers Issued to the Polling Units
51,1076,166,1159,218,box,0.8540465235710144,001
52,1077,225,1131,266,box,0.8537303805351257,10
53,663,406,751,438,box,0.8533739447593689,100
54,100,563,603,606,box,0.8491224646568298,8. Total Number of Used Ballots Papers (Total of #5 + #6 + #7 above)
55,650,373,759,413,box,0.8465422987937927,666
56,430,1392,521,1457,box,0.8459693789482117,96
57,97,497,369,528,box,0.8456329703330994,5. Number of Spoiled Ballot Papers
58,603,222,696,255,box,0.8450677990913391,OHAFIA
59,101,536,593,580,box,0.8425855040550232,7. Number of Total Valid Votes (Total Valid Votes cast for all parties)
60,602,907,715,956,box,0.8400963544845581,one
61,1076,275,1130,315,box,0.8361288905143738,10
62,1014,231,1073,262,box,0.8353100419044495,Code
63,79,317,207,357,box,0.8316527605056763,Polling Unit
64,666,540,740,571,box,0.8306680917739868,96
65,95,1409,279,1437,box,0.8278576731681824,TOTAL VALID VOTES
66,107,522,335,550,box,0.8269924521446228,6. Number of Rejected Ballots
67,1008,126,1162,162,box,0.8265146017074585,FORM EC 8A
68,614,777,738,827,box,0.8262557983398438,one
69,103,472,373,503,box,0.8250350952148438,4. Number of Unused Ballot Papers
70,557,266,709,296,box,0.8249921202659607,ANIA OHAFIA
71,607,627,760,655,box,0.8247820138931274,IN WORDS
72,594,1297,730,1343,box,0.823123574256897,one
73,355,630,535,658,box,0.815775990486145,IN FIGURES
74,681,512,730,543,box,0.8114041686058044,O.
75,986,94,1164,130,box,0.8074938654899597,S/N: PE/0002653
76,648,463,746,503,box,0.8039487600326538,528
77,95,387,370,422,box,0.8016639351844788,1. Number of Voters on the Register
78,605,864,756,912,box,0.7998424768447876,Two
79,732,490,776,525,box,0.7967168092727661,4
80,487,596,676,626,box,0.7964341044425964,VOTES SCORED
81,106,415,346,447,box,0.7959855198860168,2. Number of Accredited Voters
82,77,234,327,270,box,0.7958447337150574,Local Government Area
83,897,607,1140,637,box,0.7956562042236328,NAME/SIGNATURE OF
84,691,433,764,470,box,0.7900354266166687,628
85,432,1059,507,1115,box,0.7880287170410156,91
86,101,1435,331,1465,box,0.7879667282104492,(Record Total Valid Votes under #7 above)
87,409,309,795,345,box,0.7747649550437927,NDI EZEMA COMPOUND NDI EZEMA HALL
88,75,273,246,309,box,0.7739543318748474,Registration Area
89,90,1489,116,1518,box,0.765244722366333,"I,"
90,911,632,1120,658,box,0.7638453841209412,POLLING AGENT
91,606,1406,809,1477,box,0.7065763473510742,Ninety six
92,589,1059,799,1124,box,0.7000516057014465,Allacty One
93,77,161,213,180,box,0.6937301754951477,ELECTORAL COMMISSION
