,x1,y1,x2,y2,label,confidence,text
0,7,1232,52,1265,box,0.9306535720825195,16
1,10,1030,56,1064,box,0.9283517003059387,11
2,9,1111,54,1144,box,0.9282559156417847,13
3,153,992,203,1026,box,0.9272004961967468,BP
4,20,909,60,942,box,0.9271312952041626,8
5,143,1315,203,1348,box,0.9264026880264282,ZLP
6,142,1236,204,1271,box,0.9237844944000244,SDP
7,29,790,69,823,box,0.9237651824951172,5
8,27,829,67,863,box,0.9223193526268005,6
9,147,874,221,908,box,0.9213364720344543,APGA
10,9,1271,53,1304,box,0.9211885333061218,17
11,8,1151,53,1185,box,0.9197440147399902,14
12,18,948,58,982,box,0.9186510443687439,9
13,152,1032,200,1066,box,0.9179350137710571,LP
14,41,636,81,667,box,0.9177279472351074,1
15,11,1070,55,1104,box,0.9175857901573181,12
16,13,988,58,1022,box,0.916925847530365,10
17,141,1114,208,1149,box,0.9149793982505798,NRM
18,151,913,214,948,box,0.9141848683357239,APM
19,8,1191,53,1224,box,0.9141293168067932,15
20,23,869,62,903,box,0.9139342904090881,7
21,38,714,76,747,box,0.9117557406425476,3
22,41,675,78,708,box,0.9104728698730469,2
23,141,1276,203,1310,box,0.910041093826294,YPP
24,139,1194,207,1230,box,0.909720778465271,PRP
25,156,793,218,827,box,0.9074946045875549,ADP
26,33,750,73,783,box,0.9059252738952637,4
27,148,600,237,633,box,0.9047912955284119,PARTY
28,150,953,210,987,box,0.9040288925170898,APP
29,13,1311,54,1340,box,0.9018800258636475,18
30,38,587,84,616,box,0.9017330408096313,S/N
31,138,1071,212,1107,box,0.9013273119926453,NNPP
32,155,833,217,868,box,0.8997066020965576,APC
33,156,755,221,788,box,0.8989764451980591,ADC
34,168,636,214,672,box,0.8969821929931641,A
35,142,1155,205,1189,box,0.8951221704483032,PDP
36,17,1371,207,1403,box,0.8946799635887146,TOTAL VALID VOTES
37,54,466,303,498,box,0.893681526184082,5. Number of Spoiled Ballot Papers
38,41,185,96,211,box,0.8905113339424133,State
39,49,386,277,419,box,0.8902102708816528,2. Number of Accredited Voters
40,938,283,1001,310,box,0.8874503970146179,Code
41,166,675,218,711,box,0.8866941332817078,AA
42,50,491,269,522,box,0.8860898017883301,6. Number of Rejected Ballots
43,50,440,302,474,box,0.8858451247215271,4. Number of Unused Ballot Papers
44,10,1507,342,1549,box,0.8850582838058472,CONTESTED/NOT CONTESTED
