,x1,y1,x2,y2,label,confidence,text
0,90,995,135,1028,box,0.9332213401794434,11
1,90,1232,135,1264,box,0.9327805042266846,17
2,90,1112,135,1144,box,0.9318479299545288,14
3,228,960,277,994,box,0.9291989207267761,BP
4,221,1078,286,1110,box,0.9262850880622864,NRM
5,92,956,136,989,box,0.9244785308837891,10
6,90,1033,135,1067,box,0.9227868914604187,12
7,223,1197,284,1230,box,0.9214456677436829,SDP
8,223,1117,283,1151,box,0.9211180210113525,PDP
9,90,1150,135,1184,box,0.9205284118652344,15
10,225,922,284,954,box,0.9196975231170654,APP
11,225,1236,283,1270,box,0.9193328619003296,YPP
12,96,838,137,872,box,0.919239342212677,7
13,90,1191,135,1224,box,0.9187943339347839,16
14,229,1000,277,1034,box,0.9179728031158447,LP
15,97,724,137,757,box,0.9173431992530823,4
16,90,1072,135,1105,box,0.9164436459541321,13
17,96,877,136,912,box,0.9160429239273071,8
18,226,807,288,839,box,0.9153512120246887,APC
19,100,610,137,641,box,0.9127190113067627,1
20,217,1039,287,1072,box,0.9125673174858093,NNPP
21,220,845,292,878,box,0.9124961495399475,APGA
22,95,916,134,949,box,0.9124631881713867,9
23,97,761,137,795,box,0.9111571907997131,5
24,98,685,137,719,box,0.9100123643875122,3
25,92,1273,135,1303,box,0.9075402617454529,18
26,223,1157,284,1190,box,0.9063270688056946,PRP
27,225,883,287,916,box,0.9041953086853027,APM
28,97,800,136,833,box,0.9039021730422974,6
29,226,1276,283,1309,box,0.903011679649353,ZLP
30,229,652,284,686,box,0.9020802974700928,AA
31,97,646,137,679,box,0.9003812670707703,2
32,224,767,287,800,box,0.8988826274871826,ADP
33,234,614,278,648,box,0.894042432308197,A
34,96,563,141,592,box,0.892108142375946,S/N
35,971,296,1028,321,box,0.8918256759643555,Code
36,224,691,289,725,box,0.8913222551345825,AAC
37,227,730,289,763,box,0.8874043822288513,ADC
38,432,1233,506,1282,box,0.8829396367073059,of
39,601,170,657,196,box,0.8808441162109375,ABIA
40,970,214,1025,239,box,0.8784827589988708,Code
41,411,797,468,843,box,0.8777517676353455,3
42,426,1117,466,1154,box,0.87468421459198,1
43,417,1039,457,1075,box,0.8742395043373108,1
44,1030,157,1109,205,box,0.8736931085586548,001
45,665,447,709,473,box,0.8702036142349243,0
46,661,517,722,545,box,0.8699655532836914,65
47,390,1335,476,1392,box,0.8674934506416321,65
48,583,204,669,232,box,0.866183876991272,OHAFIA
49,969,169,1024,198,box,0.8645511865615845,Code
50,603,1122,704,1160,box,0.864208996295929,one
51,663,342,740,371,box,0.8609973788261414,403
52,665,472,708,495,box,0.8583658933639526,0
53,606,1042,701,1079,box,0.8568680286407471,one
54,84,175,144,201,box,0.8561329245567322,State
55,1030,211,1081,244,box,0.8553361296653748,10
56,207,581,299,608,box,0.8543937802314758,PARTY
57,407,992,481,1036,box,0.852349042892456,59
58,964,121,1109,155,box,0.8521474599838257,FORM EC BA
59,627,1236,728,1278,box,0.8489493131637573,One
60,1031,289,1108,337,box,0.8468971848487854,021
61,645,492,710,521,box,0.845103919506073,65
62,971,255,1028,283,box,0.8445985913276672,Code
63,675,370,727,397,box,0.8440364599227905,65
64,110,517,576,550,box,0.8434064388275146,8. Total Number of Used Ballots Papers (Total of #5 + #6 + #7 above)
65,649,419,735,449,box,0.8405853509902954,405
66,192,553,309,581,box,0.8332753777503967,POLITICAL
67,106,1330,291,1363,box,0.8325284123420715,TOTAL VALID VOTES
68,116,491,575,528,box,0.8318825364112854,7. Number of Total Valid Votes (Total Valid Votes cast for all parties)
69,584,798,693,838,box,0.8309972286224365,Three
70,100,1357,327,1385,box,0.8298953771591187,(Record Total Valid Votes under #7 above)
71,85,288,203,319,box,0.8298038840293884,Polling Unit
72,596,577,746,602,box,0.8268865942955017,IN WORDS
73,650,393,735,422,box,0.8234106302261353,470
74,830,1539,1074,1618,box,0.8225062489509583,25/02/2023
75,884,579,1082,605,box,0.8164297342300415,POLLING AGENT
76,461,283,704,314,box,0.8119531869888306,NDI EMELE - NDI EMELE HALL
77,104,1455,418,1499,box,0.8104228973388672,CONTESTED/NOT INTESTED
78,107,398,482,429,box,0.809702455997467,3. Number of Ballot Papers Issued to the Polling Units
79,946,89,1110,122,box,0.8065119981765747,S/N: PE/0002655
80,88,210,317,241,box,0.8043916821479797,Local Government Area
81,368,579,525,604,box,0.8028298020362854,IN FIGURES
82,603,1352,807,1403,box,0.8011636734008789,Sixty-Five
83,1030,251,1082,286,box,0.7991165518760681,10
84,490,547,660,575,box,0.7977720499038696,VOTES SCORED
85,548,241,693,272,box,0.772554337978363,ANIA OHAFIA
86,880,556,1095,582,box,0.767208993434906,NAME/SIGNATURE OF
87,597,990,764,1048,box,0.7639769911766052,Fifty-Mine
88,82,247,248,279,box,0.7467032670974731,Registration Area
89,97,421,346,456,box,0.7463277578353882,4. Number of Unused Ballot Papers
90,116,449,360,477,box,0.7404527068138123,5. Number of Spoiled Ballot Papers
91,104,373,332,402,box,0.7340922951698303,2. Number of Accredited Voters
92,621,1419,1181,1455,box,0.7214062213897705,(Name of Presiding Officer) hereby certify that the information
93,110,473,323,500,box,0.7065749764442444,6. Number of Rejected Ballots
94,107,349,374,380,box,0.6955949664115906,1. Number of Voters on the Register
95,95,1443,1173,1486,box,0.6574905514717102,contained in this form is a true and accurate account of votes cast in this polling Unit and that the election was
96,96,1409,122,1435,box,0.6410713195800781,"I,"
97,91,146,207,162,box,0.5751575231552124,ELECTORAL COMMISSION
98,968,1607,1014,1640,box,0.5645765662193298,Date
99,92,133,208,152,box,0.44667497277259827,INDEPENDENT NATIONAL
100,333,577,588,1395,column,0.8886530995368958,
101,84,333,603,552,column,0.8826321959495544,
102,148,568,341,1317,column,0.88114333152771,
103,573,581,835,1374,column,0.8701499104499817,
104,811,530,1199,1414,column,0.865344226360321,
105,603,333,769,545,column,0.8648605942726135,
106,69,567,164,1306,column,0.7747536301612854,
107,275,-13,1096,58,header,0.7028225660324097,INDEPENDENT NATIONAL ELECTORAL COMMISSION
108,495,80,894,132,header,0.6730309724807739,2023 PRESIDENTIAL ELECTION S/N: PE/0002655
109,343,27,985,97,header,0.5381074547767639,STATEMENT OF RESULT OF POLL FROM POLLING UNIT
110,974,282,1116,341,kv,0.8457239270210266,Code 021
111,970,150,1114,208,kv,0.8353274464607239,Code 001
112,969,199,1089,246,kv,0.8240249752998352,Code 10
113,814,1524,1066,1660,kv,0.7786186337471008,
114,952,251,1096,288,kv,0.7707369327545166,Code 1000
115,77,-3,217,153,logo,0.8747044205665588,
116,119,1378,1190,1518,paragraph,0.8004683256149292,
117,868,1092,1015,1172,signature,0.8205714225769043,As
118,830,970,998,1047,signature,0.8085006475448608,
119,123,1387,532,1450,signature,0.806878924369812,"I, Anele Nnamdi Kenneth"
120,864,789,1066,848,signature,0.7333787679672241,use
121,248,1517,402,1643,signature,0.48322832584381104,Sign/Stem ask asbake
122,841,1036,928,1078,signature,0.4208701252937317,$ 10
123,221,1445,514,1719,stamp,0.887592077255249,
124,411,718,821,1110,stamp,0.8510931134223938,
125,449,1475,633,1665,stamp,0.6620863080024719,
126,573,1479,798,1701,stamp,0.4411083161830902,
127,73,528,1174,1418,table,0.9324658513069153,
128,71,324,766,561,table,0.8864646553993225,
