,x1,y1,x2,y2,label,confidence,text
0,190,1301,246,1332,box,0.9314261078834534,ZLP
1,192,1264,249,1295,box,0.9285546541213989,YPP
2,70,1077,113,1109,box,0.9283567070960999,12
3,68,1115,111,1146,box,0.9282954931259155,13
4,200,1044,248,1077,box,0.9282857179641724,LP
5,69,1189,112,1221,box,0.9268145561218262,15
6,78,822,116,855,box,0.9264034032821655,5
7,68,1151,111,1183,box,0.9261473417282104,14
8,193,1119,254,1150,box,0.9245330095291138,NRM
9,198,973,253,1003,box,0.924413800239563,APP
10,201,1008,248,1039,box,0.9239752888679504,BP
11,76,858,114,890,box,0.9239035248756409,6
12,71,1004,112,1035,box,0.9238225221633911,10
13,73,966,111,997,box,0.9228814840316772,9
14,193,1155,251,1186,box,0.9223531484603882,PDP
15,192,1228,250,1259,box,0.921126127243042,SDP
16,189,1082,256,1113,box,0.9205170273780823,NNPP
17,197,938,257,968,box,0.9204780459403992,APM
18,68,1226,111,1256,box,0.9191828370094299,16
19,80,787,117,818,box,0.9185425043106079,4
20,76,894,113,925,box,0.9184924364089966,7
21,71,1040,111,1071,box,0.9184678792953491,11
22,75,929,112,961,box,0.9171381592750549,8
23,200,864,259,895,box,0.9161824584007263,APC
24,68,1262,110,1292,box,0.9158815741539001,17
25,69,1299,109,1327,box,0.9151648879051208,18
26,195,901,262,933,box,0.9145172834396362,APGA
27,193,1192,251,1223,box,0.9128240346908569,PRP
28,206,721,258,753,box,0.9126538634300232,AA
29,203,829,258,860,box,0.9123964905738831,ADP
30,202,794,261,825,box,0.9120636582374573,ADC
31,80,751,118,783,box,0.9115360975265503,3
32,213,687,254,718,box,0.9106572866439819,A
33,203,757,263,789,box,0.9082661271095276,AAC
34,987,268,1064,313,box,0.9075799584388733,001
35,928,393,984,417,box,0.8995267748832703,Code
36,83,717,119,747,box,0.8986237049102783,2
37,82,639,126,666,box,0.89554762840271,S/N
38,85,683,119,712,box,0.8950449228286743,1
39,987,391,1063,428,box,0.8944618105888367,007
40,345,863,383,899,box,0.8921871185302734,1
41,338,898,385,937,box,0.8921177387237549,2
42,877,1606,917,1633,box,0.8888757228851318,Date
43,72,1353,250,1383,box,0.8812460899353027,TOTAL VALID VOTES
44,83,282,137,306,box,0.8771718144416809,State
45,68,1478,386,1518,box,0.8756455183029175,CONTESTED/NOT CONTESTED
46,355,1153,400,1191,box,0.8750131726264954,M
47,574,281,630,307,box,0.8724137544631958,ABIA
48,66,1378,292,1408,box,0.8715161681175232,(Record Total Valid Votes under #7 above)
49,380,721,420,757,box,0.8713412880897522,L
50,929,280,984,307,box,0.861096203327179,Code
51,544,344,638,371,box,0.8608092665672302,OSUSU 11
52,559,1157,690,1196,box,0.859215259552002,THREE
53,192,655,276,682,box,0.858102560043335,PARTY
54,560,725,643,760,box,0.8564832806587219,one
55,536,311,665,338,box,0.8460930585861206,ABA NORTH
56,565,898,687,934,box,0.8454021215438843,Two
57,929,357,982,384,box,0.8444658517837524,Code
58,78,344,236,374,box,0.8439027667045593,Registration Area
59,930,319,983,345,box,0.8417786359786987,Code 01
60,908,203,1080,237,box,0.8386437296867371,S'N: PE/0000154
61,939,234,1074,268,box,0.8385842442512512,FORM EC 8A
62,817,634,1047,667,box,0.836972177028656,NAME/SIGNATURE OF
63,989,315,1039,350,box,0.83577960729599,Code 01
64,835,657,1021,687,box,0.8326394557952881,POLLING AGENT
65,173,630,289,655,box,0.8264675140380859,POLITICAL
66,453,627,621,652,box,0.8255965709686279,VOTES SCORED
67,554,655,696,681,box,0.8105083107948303,IN WORDS
68,333,656,496,679,box,0.8047473430633545,IN FIGURES
69,534,1035,741,1083,box,0.8043361306190491,Onehungred seven
70,989,353,1036,388,box,0.7925648093223572,04
71,79,313,303,346,box,0.7850731015205383,Local Government Area
72,545,862,628,902,box,0.7831459641456604,one
73,77,384,195,412,box,0.7732616662979126,Polling Unit
74,110,481,425,512,box,0.7697159647941589,3. Number of Ballot Papers Issued to the Poiling Units
75,148,1462,1029,1496,box,0.766330361366272,contained in this form is a true and accurate account of votes cast in this polling Unit and that the election was
76,99,461,328,485,box,0.7578057646751404,2. Number of Accredited Voters
77,348,1043,425,1085,box,0.7562704086303711,197
78,87,435,362,465,box,0.7520188093185425,1. Number of Voters on the Register
79,338,378,777,409,box,0.7507924437522888,OSUSU SECONDARY SCHCOL SCHOOL PREMISES VII
80,583,428,1131,477,box,0.7389817237854004,One and Ningly one (1091)
81,126,599,544,628,box,0.7355520725250244,8. Total Number of Used Ballots Papers (Total of #5 + #6 + #7 above)
82,759,1539,998,1604,box,0.734431803226471,25-02-23
83,86,510,344,537,box,0.733302891254425,4. Number of Unused Ballot Papers
84,97,575,542,603,box,0.7211281657218933,7. Number of Total Valid Votes (Total Valid Votes cast for all parties)
85,621,470,1060,525,box,0.7082330584526062,TWO HUNDRED AND SEVEN
86,93,554,317,579,box,0.6982380151748657,6. Number of Rejected Ballots
87,65,1432,90,1455,box,0.6866319179534912,"1,"
88,689,1435,1093,1467,box,0.6801896095275879,Officer) hereby certify that the information
89,588,1409,713,1449,box,0.672553300857544,FOUR
90,92,245,204,261,box,0.6667451858520508,INDEPENDENT NATIONAL
91,593,506,1132,552,box,0.6651788949966431,THREE ONE HUMDER AMEY THREE
92,547,1333,720,1383,box,0.6543030738830566,TWOO
93,357,1334,486,1371,box,0.63099205493927,
94,91,257,207,276,box,0.6114488244056702,ELECTORAL COMMESSION
95,85,530,326,559,box,0.5879736542701721,5. Number of Spoiled Ballot Papers
96,538,1375,722,1415,box,0.5399963855743408,HUARREA AMD
97,565,786,670,821,box,0.5318611264228821,
98,596,576,1130,623,box,0.5219184160232544,Two HUMDRED AND FOUR (204)
99,605,528,710,567,box,0.3932488262653351,ONE
100,374,752,425,785,box,0.3791877329349518,I
101,625,1673,813,1701,box,0.3167012333869934,01-01-04-007
102,523,1438,825,1467,box,0.30755001306533813,Name of Presiding Officer) herel
103,356,1186,407,1219,box,0.3054446876049042,11
104,365,1362,506,1415,box,0.29841887950897217,204
105,549,974,622,1007,box,0.27008041739463806,
106,78,420,564,627,column,0.8942886590957642,
107,745,633,1107,1405,column,0.88230961561203,
108,118,642,318,1352,column,0.8768771290779114,
109,48,631,141,1331,column,0.8761935830116272,
110,302,657,539,1399,column,0.8732637166976929,
111,580,425,1148,625,column,0.8619065284729004,
112,525,672,773,1414,column,0.8618912100791931,
113,257,129,1077,183,header,0.7565285563468933,INDEPENDENT NATIONAL ELECTORAL COMMISSION
114,457,208,868,250,header,0.5980662107467651,2023 PRESIDENTIAL ELECTION
115,315,166,974,219,header,0.5873593688011169,STATEMENT OF RESULT OF POLL FROM POLLING UNIT
116,923,313,1044,351,kv,0.8527666330337524,Code 01
117,924,351,1040,388,kv,0.8484420776367188,Code 04
118,921,266,1068,318,kv,0.8480504155158997,Code 001
119,920,388,1066,428,kv,0.8284976482391357,Code 007
120,727,1537,1022,1640,kv,0.7760692834854126,
121,87,115,214,257,logo,0.8777273297309875,
122,80,1408,1092,1524,paragraph,0.8231804370880127,
123,834,1157,954,1205,signature,0.8339917659759521,Ma
124,90,1416,504,1472,signature,0.8080074191093445,"I, Solowon Godine Adenda (Name FOUR of Presiding Officer) hereby certify that the information"
125,768,1034,1062,1096,signature,0.7782119512557983,Daniel Obasi Pm
126,780,860,1071,911,signature,0.7673883438110352,"Victora Ndubus, lag"
127,773,890,1079,941,signature,0.7547163963317871,DKOL theri George of
128,991,1031,1074,1098,signature,0.7352356314659119,Daniel Obasi Pm
129,805,1259,1150,1314,signature,0.7280391454696655,this florence Mwach
130,1026,573,1142,628,signature,0.6541690826416016,204)
131,1060,890,1116,945,signature,0.4854053258895874,Ife
132,1014,511,1134,559,signature,0.42986777424812317,THREE
133,1080,1262,1166,1318,signature,0.35305124521255493,wedn
134,200,1580,366,1666,signature,0.31277596950531006,Stamp of Presiding Officer
135,356,1356,501,1412,signature,0.26111504435539246,204
136,518,1500,698,1676,stamp,0.9333245158195496,
137,136,1499,401,1707,stamp,0.8863856196403503,
138,393,789,776,1156,stamp,0.8621101975440979,
139,549,1327,748,1449,stamp,0.29573774337768555,
140,56,606,1084,1438,table,0.9400739669799805,
141,88,414,1124,628,table,0.8487012982368469,
