,x1,y1,x2,y2,label,confidence,text
0,85,1079,127,1112,box,0.9146028161048889,11
1,84,962,123,996,box,0.9112213253974915,8
2,85,1234,129,1269,box,0.9110957384109497,15
3,82,722,122,758,box,0.907755434513092,2
4,85,1117,129,1152,box,0.9072450399398804,12
5,85,1196,129,1229,box,0.90618497133255,14
6,84,1039,128,1072,box,0.9055375456809998,10
7,84,924,122,956,box,0.904499888420105,7
8,86,1001,124,1034,box,0.9039129614830017,9
9,83,803,121,837,box,0.901159942150116,4
10,83,843,122,878,box,0.9010909795761108,5
11,83,884,122,917,box,0.8988583087921143,6
12,78,636,127,667,box,0.8983516097068787,S/N
13,82,762,122,797,box,0.8976474404335022,3
14,214,1234,278,1267,box,0.8975338339805603,PRP
15,83,684,121,717,box,0.8971741795539856,1
16,85,1272,128,1307,box,0.8966360092163086,16
17,218,1077,270,1113,box,0.8956563472747803,LP
18,83,1312,126,1346,box,0.8949913382530212,17
19,86,1156,128,1189,box,0.8933297991752625,13
20,221,692,264,727,box,0.8889104723930359,A
21,214,1350,278,1383,box,0.8870975375175476,ZLP
22,214,1195,279,1229,box,0.8859161734580994,PDP
23,218,1038,270,1074,box,0.8858475685119629,BP
24,204,927,279,959,box,0.8856492042541504,APGA
25,211,808,273,843,box,0.8854256272315979,ADC
26,85,1351,126,1382,box,0.8825439214706421,18
27,439,956,490,995,box,0.8814389705657959,
28,558,319,654,348,box,0.8808987140655518,KOLERE
29,211,887,274,922,box,0.8806737661361694,APC
30,208,768,275,804,box,0.880332350730896,AAC
31,957,250,1012,278,box,0.8801077604293823,Code
32,437,838,491,878,box,0.8795397877693176,O
33,957,374,1011,404,box,0.8791940808296204,Code
34,212,965,275,998,box,0.8790233135223389,APM
35,440,760,485,796,box,0.8775054216384888,0
36,438,797,483,834,box,0.8762370347976685,0
37,217,729,270,765,box,0.876203715801239,AA
38,213,1273,277,1305,box,0.8754106163978577,SDP
39,216,1310,279,1345,box,0.8742920160293579,YPP
40,210,849,274,882,box,0.8719227313995361,ADP
41,434,1263,482,1301,box,0.868870735168457,0
42,603,1295,752,1339,box,0.8677716255187988,ZERO
43,79,361,202,398,box,0.8676219582557678,Polling Unit
44,604,1025,750,1069,box,0.8670458793640137,ZERO
45,957,337,1013,366,box,0.8668970465660095,Code
46,77,246,138,275,box,0.864650309085846,State
47,434,1221,483,1262,box,0.8633946776390076,O
48,433,1299,485,1337,box,0.8633418679237366,0
49,716,479,797,507,box,0.8631443381309509,724
50,209,1117,276,1151,box,0.862447202205658,NNPP
51,555,248,678,279,box,0.8621193766593933,ADAMAWA
52,444,682,486,717,box,0.862076461315155,0
53,708,505,787,533,box,0.8616286516189575,606
54,434,1147,487,1186,box,0.8602811098098755,0
55,1015,240,1089,285,box,0.8601053953170776,002
56,956,296,1012,322,box,0.8596696257591248,Code
57,425,877,500,921,box,0.8581952452659607,58
58,433,913,491,956,box,0.8581066131591797,O
59,100,1532,439,1570,box,0.85809326171875,CONTESTED/NOT CONTESTED
60,214,1003,273,1036,box,0.8567363619804382,APP
61,195,660,287,689,box,0.8559739589691162,PARTY
62,543,282,682,313,box,0.855394184589386,MUBI NORTH
63,413,360,736,393,box,0.8549752235412598,KOFAR ALH NJIDDA/ K. ROUND ABOUT
64,704,453,777,480,box,0.8547173738479614,118
65,591,1141,754,1187,box,0.8544424176216125,ZERO
66,728,550,767,574,box,0.8538376092910767,0
67,718,574,782,600,box,0.853638231754303,118
68,210,1154,278,1191,box,0.8527407050132751,NRM
