Entity,Matched Template,Score,Votes,confidence,image_path
3. Number of Ballot Papers Issued to the Polling Units,3. Number of Ballot Papers Issued to the Polling Units,100,750,"[0.8636345863342285, 0.8811092972755432]",../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_010_unwrap.jpg
4. Number of Unused Ballot Papers,4. Number of Unused Ballot Papers,100,745,"[0.8441742062568665, 0.8444218039512634]",../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_010_unwrap.jpg
5. Number of Spoiled Ballot Papers,5. Number of Spoiled Ballot papers,100,0,"[0.8830324411392212, 0.7515632510185242]",../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_010_unwrap.jpg
6. Number of Rejected Ballots,6. Number of Rejected Ballots,100,0,"[0.858514666557312, 0.8646807074546814]",../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_010_unwrap.jpg
7. Number of Total Valid Votes (Total Valid Votes cast for all parties),7. Number of Total Valid Votes (Total valid Votes cast for all parties),100,05,"[0.8717409372329712, 0.8655253648757935]",../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_010_unwrap.jpg
8. Total Number of Used Ballots Papers (Total of #5 + #6 + #7 above),8. Total Number of Used Ballot Papers (Total of #5 + #6 + #7 above),99,05,"[0.8526511788368225, 0.8703964948654175]",../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_010_unwrap.jpg
Entity,Matched Template,Score,Votes,confidence,image_path
1. Number of Voters on the Register,1. Number of Voters on the Register,100,331,"[0.7175707221031189, 0.8538104891777039]",../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_023_unwrap.jpg
2. Number of Accredited Voters,2. Number of Accredited Voters,100,75,"[0.76908940076828, 0.8238881230354309]",../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_023_unwrap.jpg
3. Number of Ballot Papers Issued to the Polling Units,3. Number of Ballot Papers Issued to the Polling Units,100,331,"[0.8135755062103271, 0.8130930662155151]",../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_023_unwrap.jpg
4. Number of Unused Ballot Papers,4. Number of Unused Ballot Papers,100,256,"[0.7993587851524353, 0.8373609781265259]",../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_023_unwrap.jpg
5. Number of Spoiled Ballot Papers,5. Number of Spoiled Ballot papers,100,0,"[0.7261160016059875, 0.8320746421813965]",../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_023_unwrap.jpg
6. Number of Rejected Ballots,6. Number of Rejected Ballots,100,0,"[0.7511081695556641, 0.8363023996353149]",../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_023_unwrap.jpg
7. Number of Total Valid Votes (Total Valid Votes cast for all parties),7. Number of Total Valid Votes (Total valid Votes cast for all parties),100,75,"[0.8555668592453003, 0.8315821290016174]",../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_023_unwrap.jpg
8. Total Number of Used Ballots Papers (Total of #5 + #6 + #7 above),8. Total Number of Used Ballot Papers (Total of #5 + #6 + #7 above),99,75,"[0.8216302990913391, 0.8431902527809143]",../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_023_unwrap.jpg
Entity,Matched Template,Score,Votes,confidence,image_path
1. Number of Voters on the Register,1. Number of Voters on the Register,100,3EO,"[0.8304352760314941, 0.8653092384338379]",../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_014_unwrap.jpg
2. Number of Accredited Voters,2. Number of Accredited Voters,100,127,"[0.8506847023963928, 0.861893355846405]",../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_014_unwrap.jpg
3. Number of Ballot Papers Issued to the Polling Units,3. Number of Ballot Papers Issued to the Polling Units,100,334,"[0.8346132636070251, 0.8479090332984924]",../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_014_unwrap.jpg
4. Number of Unused Ballot Papers,4. Number of Unused Ballot Papers,100,207,"[0.862453043460846, 0.8417521119117737]",../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_014_unwrap.jpg
5. Number of Spoiled Ballot Papers,5. Number of Spoiled Ballot papers,100,NIL,"[0.8598531484603882, 0.8317694664001465]",../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_014_unwrap.jpg
6. Number of Rejected Ballots,6. Number of Rejected Ballots,100,6,"[0.8415862917900085, 0.8631423711776733]",../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_014_unwrap.jpg
7. Number of Total Valid Votes (Total Valid Votes cast for all parties),7. Number of Total Valid Votes (Total valid Votes cast for all parties),100,121,"[0.8064279556274414, 0.8493954539299011]",../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_014_unwrap.jpg
8. Total Number of Used Ballots Papers (Total of #5 + #6 + #7 above),8. Total Number of Used Ballot Papers (Total of #5 + #6 + #7 above),99,127,"[0.776428759098053, 0.8359238505363464]",../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_014_unwrap.jpg
Entity,Matched Template,Score,Votes,confidence,image_path
1. Number of Voters on the Register,1. Number of Voters on the Register,100,+50,"[0.7605744004249573, 0.8366397023200989]",../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_004_unwrap.jpg
2. Number of Accredited Voters,2. Number of Accredited Voters,100,118,"[0.7565311193466187, 0.8547173738479614]",../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_004_unwrap.jpg
3. Number of Ballot Papers Issued to the Polling Units,3. Number of Ballot Papers Issued to the Polling Units,100,724,"[0.8428484201431274, 0.8631443381309509]",../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_004_unwrap.jpg
4. Number of Unused Ballot Papers,4. Number of Unused Ballot Papers,100,606,"[0.7984938025474548, 0.8616286516189575]",../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_004_unwrap.jpg
5. Number of Spoiled Ballot Papers,5. Number of Spoiled Ballot papers,100,0,"[0.8189975023269653, 0.8482167720794678]",../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_004_unwrap.jpg
6. Number of Rejected Ballots,6. Number of Rejected Ballots,100,0,"[0.8090133666992188, 0.8538376092910767]",../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_004_unwrap.jpg
7. Number of Total Valid Votes (Total Valid Votes cast for all parties),7. Number of Total Valid Votes (Total valid Votes cast for all parties),100,118,"[0.8189928531646729, 0.853638231754303]",../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_004_unwrap.jpg
8. Total Number of Used Ballots Papers (Total of #5 + #6 + #7 above),8. Total Number of Used Ballot Papers (Total of #5 + #6 + #7 above),99,118,"[0.8350173830986023, 0.8337868452072144]",../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_004_unwrap.jpg
Entity,Matched Template,Score,Votes,confidence,image_path
1. Number of Voters on the Register,1. Number of Voters on the Register,100,501,"[0.8529474139213562, 0.7490708827972412]",../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_024_unwrap.jpg
2. Number of Accredited Voters,2. Number of Accredited Voters,100,147,"[0.8616387248039246, 0.8172968029975891]",../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_024_unwrap.jpg
3. Number of Ballot Papers Issued to the Polling Units,3. Number of Ballot Papers Issued to the Polling Units,100,475,"[0.8759415745735168, 0.7695502638816833]",../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_024_unwrap.jpg
4. Number of Unused Ballot Papers,4. Number of Unused Ballot Papers,100,32%,"[0.8669406771659851, 0.7704005241394043]",../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_024_unwrap.jpg
5. Number of Spoiled Ballot Papers,5. Number of Spoiled Ballot papers,100,,[0.8647393584251404],../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_024_unwrap.jpg
6. Number of Rejected Ballots,6. Number of Rejected Ballots,100,,"[0.8626255393028259, 0.817368745803833]",../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_024_unwrap.jpg
7. Number of Total Valid Votes (Total Valid Votes cast for all parties),7. Number of Total Valid Votes (Total valid Votes cast for all parties),100,143,"[0.8863343596458435, 0.8115697503089905]",../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_024_unwrap.jpg
8. Total Number of Used Ballots Papers (Total of #5 + #6 + #7 above),8. Total Number of Used Ballot Papers (Total of #5 + #6 + #7 above),99,144,"[0.8572226166725159, 0.8330575823783875]",../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_024_unwrap.jpg
Entity,Matched Template,Score,Votes,confidence,image_path
1. Number of Voters on the Register,1. Number of Voters on the Register,100,821,"[0.8446348309516907, 0.7405052781105042]",../test_images/batch_test/unwrapped_files_jpg/state_01/lga_01/ward_04/01_01_04_001_unwrap.jpg
2. Number of Accredited Voters,2. Number of Accredited Voters,100,70,"[0.866818904876709, 0.7775363326072693]",../test_images/batch_test/unwrapped_files_jpg/state_01/lga_01/ward_04/01_01_04_001_unwrap.jpg
3. Number of Ballot Papers Issued to the Polling Units,3. Number of Ballot Papers Issued to the Polling Units,100,12,"[0.8273782134056091, 0.8203113675117493]",../test_images/batch_test/unwrapped_files_jpg/state_01/lga_01/ward_04/01_01_04_001_unwrap.jpg
4. Number of Unused Ballot Papers,4. Number of Unused Ballot Papers,100,1030,"[0.8892874717712402, 0.8608222007751465]",../test_images/batch_test/unwrapped_files_jpg/state_01/lga_01/ward_04/01_01_04_001_unwrap.jpg
5. Number of Spoiled Ballot Papers,5. Number of Spoiled Ballot papers,100,,[0.8883997201919556],../test_images/batch_test/unwrapped_files_jpg/state_01/lga_01/ward_04/01_01_04_001_unwrap.jpg
6. Number of Rejected Ballots,6. Number of Rejected Ballots,100,,[0.8813660144805908],../test_images/batch_test/unwrapped_files_jpg/state_01/lga_01/ward_04/01_01_04_001_unwrap.jpg
7. Number of Total Valid Votes (Total Valid Votes cast for all parties),7. Number of Total Valid Votes (Total valid Votes cast for all parties),100,170,"[0.7897438406944275, 0.8381950855255127]",../test_images/batch_test/unwrapped_files_jpg/state_01/lga_01/ward_04/01_01_04_001_unwrap.jpg
8. Total Number of Used Ballots Papers (Total of #5 + #6 + #7 above),8. Total Number of Used Ballot Papers (Total of #5 + #6 + #7 above),99,170,"[0.7683768272399902, 0.7756984233856201]",../test_images/batch_test/unwrapped_files_jpg/state_01/lga_01/ward_04/01_01_04_001_unwrap.jpg
Entity,Matched Template,Score,Votes,confidence,image_path
1. Number of Voters on the Register,1. Number of Voters on the Register,100,875,"[0.7743257284164429, 0.8198099732398987]",../test_images/batch_test/unwrapped_files_jpg/state_01/lga_01/ward_07/01_01_07_014_unwrap.jpg
2. Number of Accredited Voters,2. Number of Accredited Voters,100,186,"[0.8200090527534485, 0.734670877456665]",../test_images/batch_test/unwrapped_files_jpg/state_01/lga_01/ward_07/01_01_07_014_unwrap.jpg
3. Number of Ballot Papers Issued to the Polling Units,3. Number of Ballot Papers Issued to the Polling Units,100,693,"[0.771953284740448, 0.8478395342826843]",../test_images/batch_test/unwrapped_files_jpg/state_01/lga_01/ward_07/01_01_07_014_unwrap.jpg
4. Number of Unused Ballot Papers,4. Number of Unused Ballot Papers,100,502 501,"[0.82098388671875, 0.7770949006080627]",../test_images/batch_test/unwrapped_files_jpg/state_01/lga_01/ward_07/01_01_07_014_unwrap.jpg
5. Number of Spoiled Ballot Papers,5. Number of Spoiled Ballot papers,100,,[0.8364943861961365],../test_images/batch_test/unwrapped_files_jpg/state_01/lga_01/ward_07/01_01_07_014_unwrap.jpg
6. Number of Rejected Ballots,6. Number of Rejected Ballots,100,void,"[0.8216188549995422, 0.8348854184150696]",../test_images/batch_test/unwrapped_files_jpg/state_01/lga_01/ward_07/01_01_07_014_unwrap.jpg
7. Number of Total Valid Votes (Total Valid Votes cast for all parties),7. Number of Total Valid Votes (Total valid Votes cast for all parties),100,185,"[0.7181309461593628, 0.4182831346988678]",../test_images/batch_test/unwrapped_files_jpg/state_01/lga_01/ward_07/01_01_07_014_unwrap.jpg
8. Total Number of Used Ballots Papers (Total of #5 + #6 + #7 above),8. Total Number of Used Ballot Papers (Total of #5 + #6 + #7 above),99,186,"[0.8023103475570679, 0.829287588596344]",../test_images/batch_test/unwrapped_files_jpg/state_01/lga_01/ward_07/01_01_07_014_unwrap.jpg
Entity,Matched Template,Score,Votes,confidence,image_path
1. Number of Voters on the Register,1. Number of Voters on the Register,100,403,"[0.6955949664115906, 0.8609973788261414]",../test_images/batch_test/unwrapped_files_jpg/state_01/lga_10/ward_10/01_10_10_021_unwrap.jpg
2. Number of Accredited Voters,2. Number of Accredited Voters,100,65,"[0.7340922951698303, 0.8440364599227905]",../test_images/batch_test/unwrapped_files_jpg/state_01/lga_10/ward_10/01_10_10_021_unwrap.jpg
3. Number of Ballot Papers Issued to the Polling Units,3. Number of Ballot Papers Issued to the Polling Units,100,470,"[0.809702455997467, 0.8234106302261353]",../test_images/batch_test/unwrapped_files_jpg/state_01/lga_10/ward_10/01_10_10_021_unwrap.jpg
4. Number of Unused Ballot Papers,4. Number of Unused Ballot Papers,100,405,"[0.7463277578353882, 0.8405853509902954]",../test_images/batch_test/unwrapped_files_jpg/state_01/lga_10/ward_10/01_10_10_021_unwrap.jpg
5. Number of Spoiled Ballot Papers,5. Number of Spoiled Ballot papers,100,0,"[0.7404527068138123, 0.8702036142349243]",../test_images/batch_test/unwrapped_files_jpg/state_01/lga_10/ward_10/01_10_10_021_unwrap.jpg
6. Number of Rejected Ballots,6. Number of Rejected Ballots,100,0,"[0.7065749764442444, 0.8583658933639526]",../test_images/batch_test/unwrapped_files_jpg/state_01/lga_10/ward_10/01_10_10_021_unwrap.jpg
7. Number of Total Valid Votes (Total Valid Votes cast for all parties),7. Number of Total Valid Votes (Total valid Votes cast for all parties),100,65,"[0.8318825364112854, 0.845103919506073]",../test_images/batch_test/unwrapped_files_jpg/state_01/lga_10/ward_10/01_10_10_021_unwrap.jpg
